,Country/Region,Province/State,time,summary,icon,sunriseTime,sunsetTime,moonPhase,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,windSpeed,windGust,uvIndex,visibility
28113,US,Texas,2020-01-01,Overcast throughout the day.,cloudy,1577885400,1577922000,0.22,58.79,50.88,35.4,0.55,1014.2,7.51,24.73,3,10
28114,US,Texas,2020-01-02,Mostly cloudy throughout the day.,rain,1577971800,1578008460,0.25,62.1,45.01,49.25,0.82,1003.7,8.02,21.04,3,10
28112,US,Texas,2019-12-31,Clear throughout the day.,clear-day,1577799000,1577835540,0.19,60.04,43.28,22.57,0.45,1023.7,3.52,7.13,4,10
28115,US,Texas,2020-01-03,Clear throughout the day.,clear-day,1578058200,1578094860,0.28,62.72,38.39,39.35,0.63,1014.4,10.45,26.26,3,10
28116,US,Texas,2020-01-04,Clear throughout the day.,clear-day,1578144600,1578181320,0.31,70.82,43.4,30.65,0.46,1026.1,6.11,15.83,4,10
28117,US,Texas,2020-01-05,Clear throughout the day.,clear-day,1578231000,1578267780,0.34,78.2,37.85,33.19,0.43,1024,7.56,27.02,4,10
28118,US,Texas,2020-01-06,Clear throughout the day.,clear-day,1578317460,1578354240,0.37,73.21,37.03,37.56,0.56,1021,4.72,24.39,4,10
28119,US,Texas,2020-01-07,Clear throughout the day.,clear-day,1578403860,1578440640,0.41,66.5,35.29,19.72,0.36,1028.7,4.69,18.55,4,10
28120,US,Texas,2020-01-08,Clear throughout the day.,clear-day,1578490260,1578527100,0.44,66.57,58.25,31.2,0.48,1023.7,9.62,35.49,4,10
28121,US,Texas,2020-01-09,Mostly cloudy throughout the day.,partly-cloudy-day,1578576660,1578613560,0.48,74.83,65.94,60.37,0.83,1014,14.05,34.38,3,10
28122,US,Texas,2020-01-10,Heavy rain starting in the afternoon.,rain,1578663060,1578700020,0.51,72.4,38.94,63.68,0.86,1007.6,15.44,35.26,3,8.888
28123,US,Texas,2020-01-11,Clear throughout the day.,rain,1578749460,1578786480,0.55,52.39,31.53,36.74,0.72,1019.2,11.87,30.16,4,10
28124,US,Texas,2020-01-12,Clear throughout the day.,clear-day,1578835860,1578872940,0.59,60.47,46.03,35.8,0.73,1021.3,6.54,17.33,4,10
28125,US,Texas,2020-01-13,Overcast throughout the day.,cloudy,1578922200,1578959340,0.62,62.23,56.16,51.1,0.92,1020.7,5.4,15.2,3,8.898
28126,US,Texas,2020-01-14,Mostly cloudy throughout the day.,partly-cloudy-day,1579008600,1579045800,0.66,75.01,64.71,61.14,0.91,1018.1,4.99,14.41,3,8.78
28127,US,Texas,2020-01-15,Possible light rain overnight.,cloudy,1579095000,1579132260,0.7,78.63,55.26,66.61,0.87,1016.9,8.48,24.27,3,9.069
28128,US,Texas,2020-01-16,Light rain throughout the day.,rain,1579181400,1579218720,0.73,58.4,53.17,55.62,0.91,1023.8,8.52,23.95,4,9.241
28129,US,Texas,2020-01-17,Light rain throughout the day.,rain,1579267800,1579305180,0.77,58.02,56.99,53.82,0.94,1021.5,5.79,17.2,3,8.561
28130,US,Texas,2020-01-18,Clear throughout the day.,rain,1579354200,1579391640,0.81,64.95,35.24,49.69,0.74,1023.2,10.86,25.28,4,9.779
28131,US,Texas,2020-01-19,Clear throughout the day.,clear-day,1579440540,1579478100,0.84,55.84,33.12,22.54,0.44,1033,8.84,25.59,5,10
28132,US,Texas,2020-01-20,Clear throughout the day.,clear-day,1579526940,1579564560,0.88,60.42,36.79,24.41,0.47,1034.4,3.46,6.27,4,10
28133,US,Texas,2020-01-21,Light rain overnight.,rain,1579613340,1579650960,0.91,61.76,43.9,30.28,0.52,1029.2,6.96,27.84,4,10
28134,US,Texas,2020-01-22,Light rain until evening.,rain,1579699680,1579737420,0.94,51.24,48.4,45.18,0.93,1017.2,8.32,26.94,3,7.625
28135,US,Texas,2020-01-23,Partly cloudy throughout the day.,rain,1579786080,1579823880,0.97,58.84,39.07,46.74,0.82,1015.9,7.34,23.02,3,9.114
28136,US,Texas,2020-01-24,Clear throughout the day.,clear-day,1579872480,1579910340,0.01,64.3,38.45,34.42,0.59,1020.8,4.59,11.28,4,10
28137,US,Texas,2020-01-25,Mostly cloudy throughout the day.,partly-cloudy-day,1579958820,1579996800,0.04,67.28,51.53,44.05,0.72,1018.1,8.31,26.47,3,10
28138,US,Texas,2020-01-26,Clear throughout the day.,clear-day,1580045220,1580083260,0.07,74.35,42.94,50.15,0.73,1015.5,6.99,19.69,4,9.882
28139,US,Texas,2020-01-27,Possible light rain overnight.,clear-day,1580131560,1580169720,0.1,66.06,52.02,48.39,0.83,1015.1,6.79,24.46,4,9.901
28140,US,Texas,2020-01-28,Rain in the morning.,rain,1580217960,1580256180,0.13,67.96,40.76,48.24,0.8,1011.9,12.85,30.48,4,8.93
28141,US,Texas,2020-01-29,Clear throughout the day.,clear-day,1580304300,1580342640,0.16,55.54,39.73,38,0.73,1018.1,12.05,33.26,4,10
28142,US,Texas,2020-01-30,Overcast throughout the day.,cloudy,1580390700,1580429100,0.19,48.78,37.38,37.87,0.82,1019.9,5.47,14.98,3,10
28143,US,Texas,2020-01-31,Clear throughout the day.,clear-day,1580477040,1580515560,0.22,58.1,35.68,36.88,0.73,1021.9,5.5,13.39,4,10
28144,US,Texas,2020-02-01,Clear throughout the day.,clear-day,1580563440,1580601960,0.25,69.52,42.69,32.31,0.55,1023.6,6.99,24.19,5,10
